datetime_beginning_utc,datetime_beginning_ept,pnode_id,pnode_name,voltage,equipment,type,zone,system_energy_price_rt,total_lmp_rt,congestion_price_rt,marginal_loss_price_rt,system_energy_price_da,total_lmp_da,congestion_price_da,marginal_loss_price_da
1/1/2022 5:00,1/1/2022 0:00,1,PJM,,,ZONE,,18.908333,18.91745,0.000301,0.008815,21.02,20.909171,-0.022097,-0.088732
1/1/2022 6:00,1/1/2022 1:00,1,PJM,,,ZONE,,18.158333,18.166579,0,0.008246,18.43,18.334949,0.006714,-0.101765
1/1/2022 7:00,1/1/2022 2:00,1,PJM,,,ZONE,,18.503333,18.512924,0.00031,0.009281,18.11,18.009775,0.001739,-0.101964
1/1/2022 8:00,1/1/2022 3:00,1,PJM,,,ZONE,,18.380833,18.395065,0.001439,0.012792,18.15,18.039875,-0.002451,-0.107674
1/1/2022 9:00,1/1/2022 4:00,1,PJM,,,ZONE,,18.113333,18.124194,-0.000011,0.010872,17.7,17.602965,0.006932,-0.103967
1/1/2022 10:00,1/1/2022 5:00,1,PJM,,,ZONE,,17.285833,17.295128,0,0.009295,17.67,17.57827,0.014886,-0.106616
1/1/2022 11:00,1/1/2022 6:00,1,PJM,,,ZONE,,17.2125,17.221007,0,0.008507,17.72,17.640954,0.010738,-0.089784
1/1/2022 12:00,1/1/2022 7:00,1,PJM,,,ZONE,,16.430833,16.439753,0,0.00892,18.24,18.169792,0.009925,-0.080133
1/1/2022 13:00,1/1/2022 8:00,1,PJM,,,ZONE,,17.3125,17.320117,0.000032,0.007585,20.03,19.953529,-0.003523,-0.072948
1/1/2022 14:00,1/1/2022 9:00,1,PJM,,,ZONE,,17.449167,17.456171,-0.000056,0.00706,21.78,21.687622,-0.016939,-0.075439
1/1/2022 15:00,1/1/2022 10:00,1,PJM,,,ZONE,,23.198333,23.20986,0.000775,0.010751,25.95,25.897889,0.05315,-0.105261
1/1/2022 16:00,1/1/2022 11:00,1,PJM,,,ZONE,,24.78,24.792076,0.000489,0.011587,26.3,26.25545,0.058516,-0.103066
1/1/2022 17:00,1/1/2022 12:00,1,PJM,,,ZONE,,24.640833,24.653815,0.001123,0.011859,26.02,25.978376,0.049647,-0.091271
1/1/2022 18:00,1/1/2022 13:00,1,PJM,,,ZONE,,23.8775,23.890396,0.000984,0.011912,25.73,25.675918,0.049634,-0.103716
1/1/2022 19:00,1/1/2022 14:00,1,PJM,,,ZONE,,23.515833,23.526734,0.000919,0.009982,25.21,25.162776,0.055112,-0.102336
1/1/2022 20:00,1/1/2022 15:00,1,PJM,,,ZONE,,23.004167,23.016906,0.000913,0.011827,24.04,23.984277,0.022729,-0.078452
1/1/2022 21:00,1/1/2022 16:00,1,PJM,,,ZONE,,24.935833,24.950847,0.001221,0.013793,25.9,25.926787,0.074441,-0.047654
1/1/2022 22:00,1/1/2022 17:00,1,PJM,,,ZONE,,25.800833,25.81323,0.001274,0.011123,28.7,28.766759,0.079364,-0.012605
1/1/2022 23:00,1/1/2022 18:00,1,PJM,,,ZONE,,25.036667,25.05565,0.006527,0.012456,27.93,27.953806,0.074083,-0.050277
1/2/2022 0:00,1/1/2022 19:00,1,PJM,,,ZONE,,22.9575,22.978012,0.010032,0.01048,26.49,26.484094,0.063602,-0.069508
1/2/2022 1:00,1/1/2022 20:00,1,PJM,,,ZONE,,23.195,23.215084,0.010283,0.009801,26.7,26.692098,0.064668,-0.07257
1/2/2022 2:00,1/1/2022 21:00,1,PJM,,,ZONE,,24.0025,24.002912,-0.011413,0.011825,26.43,26.404206,0.051061,-0.076855
1/2/2022 3:00,1/1/2022 22:00,1,PJM,,,ZONE,,21.994167,22.004581,0.001146,0.009268,24.39,24.386878,0.045629,-0.048751
1/2/2022 4:00,1/1/2022 23:00,1,PJM,,,ZONE,,19.685,19.624921,-0.069904,0.009825,21.89,21.882081,0.029809,-0.037728
1/2/2022 5:00,1/2/2022 0:00,1,PJM,,,ZONE,,19.385,19.330877,-0.061566,0.007444,21.93,21.941878,0.03874,-0.026862
1/2/2022 6:00,1/2/2022 1:00,1,PJM,,,ZONE,,20.020833,20.034686,0.005353,0.0085,20.72,20.76317,0.057511,-0.014341
1/2/2022 7:00,1/2/2022 2:00,1,PJM,,,ZONE,,20.160833,20.171908,0.001215,0.00986,20.62,20.659277,0.058065,-0.018788
1/2/2022 8:00,1/2/2022 3:00,1,PJM,,,ZONE,,19.806667,19.818027,0.00152,0.009841,20.54,20.566027,0.061413,-0.035386
1/2/2022 9:00,1/2/2022 4:00,1,PJM,,,ZONE,,21.978333,21.990976,0.001886,0.010756,20.29,20.319834,0.063767,-0.033933
1/2/2022 10:00,1/2/2022 5:00,1,PJM,,,ZONE,,18.870833,18.879866,0.000028,0.009004,20.83,20.866051,0.06566,-0.029609
1/2/2022 11:00,1/2/2022 6:00,1,PJM,,,ZONE,,20.445833,20.453948,0.000268,0.007847,21.24,21.232885,0.013428,-0.020543
1/2/2022 12:00,1/2/2022 7:00,1,PJM,,,ZONE,,20.699167,20.708515,0.000235,0.009114,22.18,22.21391,0.049918,-0.016008
1/2/2022 13:00,1/2/2022 8:00,1,PJM,,,ZONE,,23.4625,23.471835,0.000223,0.009112,24.11,24.160254,0.054835,-0.004581
1/2/2022 14:00,1/2/2022 9:00,1,PJM,,,ZONE,,23.093333,23.106142,0.003175,0.009634,26.71,26.727972,0.039267,-0.021295
1/2/2022 15:00,1/2/2022 10:00,1,PJM,,,ZONE,,25.800833,25.813293,0.001187,0.011273,27.12,27.162577,0.030745,0.011832
