datetime_beginning_utc,datetime_beginning_ept,area,solar_generation_kw
1/1/2022 5:00,1/1/2022 0:00,SOUTH,-3.594
1/1/2022 6:00,1/1/2022 1:00,SOUTH,-3.575
1/1/2022 7:00,1/1/2022 2:00,SOUTH,-3.494
1/1/2022 8:00,1/1/2022 3:00,SOUTH,-3.565
1/1/2022 9:00,1/1/2022 4:00,SOUTH,-3.637
1/1/2022 10:00,1/1/2022 5:00,SOUTH,-3.464
1/1/2022 11:00,1/1/2022 6:00,SOUTH,-3.611
1/1/2022 12:00,1/1/2022 7:00,SOUTH,5.059
1/1/2022 13:00,1/1/2022 8:00,SOUTH,87.505
1/1/2022 14:00,1/1/2022 9:00,SOUTH,215.045
1/1/2022 15:00,1/1/2022 10:00,SOUTH,456.268
1/1/2022 16:00,1/1/2022 11:00,SOUTH,628.925
1/1/2022 17:00,1/1/2022 12:00,SOUTH,700.076
1/1/2022 18:00,1/1/2022 13:00,SOUTH,694.367
1/1/2022 19:00,1/1/2022 14:00,SOUTH,648.809
1/1/2022 20:00,1/1/2022 15:00,SOUTH,536.094
1/1/2022 21:00,1/1/2022 16:00,SOUTH,160.254
1/1/2022 22:00,1/1/2022 17:00,SOUTH,-3.326
1/1/2022 23:00,1/1/2022 18:00,SOUTH,-3.704
1/2/2022 0:00,1/1/2022 19:00,SOUTH,-3.549
1/2/2022 1:00,1/1/2022 20:00,SOUTH,-3.595
1/2/2022 2:00,1/1/2022 21:00,SOUTH,-3.583
1/2/2022 3:00,1/1/2022 22:00,SOUTH,-3.489
1/2/2022 4:00,1/1/2022 23:00,SOUTH,-3.454
1/2/2022 5:00,1/2/2022 0:00,SOUTH,-3.838
1/2/2022 6:00,1/2/2022 1:00,SOUTH,-3.928
1/2/2022 7:00,1/2/2022 2:00,SOUTH,-3.825
1/2/2022 8:00,1/2/2022 3:00,SOUTH,-3.972
1/2/2022 9:00,1/2/2022 4:00,SOUTH,-3.943
1/2/2022 10:00,1/2/2022 5:00,SOUTH,-3.857
1/2/2022 11:00,1/2/2022 6:00,SOUTH,-3.878
1/2/2022 12:00,1/2/2022 7:00,SOUTH,2.076
1/2/2022 13:00,1/2/2022 8:00,SOUTH,61.402
1/2/2022 14:00,1/2/2022 9:00,SOUTH,148.847
1/2/2022 15:00,1/2/2022 10:00,SOUTH,286.816
1/2/2022 16:00,1/2/2022 11:00,SOUTH,387.263
1/2/2022 17:00,1/2/2022 12:00,SOUTH,430.96
1/2/2022 18:00,1/2/2022 13:00,SOUTH,337.934
1/2/2022 19:00,1/2/2022 14:00,SOUTH,204.515
1/2/2022 20:00,1/2/2022 15:00,SOUTH,118.446
